Country,Longitude,Latitude,Goldstein
Albania,19.5614,40.6136,-5.0
Armenia,45.0,40.0,-2.0
Australia,144.967,-37.8167,-3.0
Australia,145.46,-14.6668,-2.0
Australia,148.922,-20.1167,-4.0
Australia,148.967,-21.6333,-2.0
Australia,149.217,-35.2833,-5.0
Australia,151.217,-33.8833,-4.0
Australia,151.3,-33.7333,-2.0
Australia,151.318,-33.6318,-3.0
Australia,151.954,-27.4634,-4.0
Australia,151.954,-27.5606,-4.0
Australia,153.217,-27.75,-2.0
Belgium,4.33333,50.8333,-10.0
Belize,-87.8333,18.15,-4.0
Bolivia,-65.7531,-19.5836,-2.0
Brazil,-43.2333,-22.9,-5.0
Brazil,-55.0,-10.0,-7.0
Cambodia,103.013,11.3336,-10.0
Cambodia,103.25,12.0,-10.0
Canada,-102.467,51.2167,-2.0
Canada,-110.683,50.0333,-10.0
Canada,-111.383,56.7333,-2.0
Canada,-114.083,51.0833,-7.0
Canada,-116.183,51.4333,-2.0
Canada,-68.5667,70.45,-6.0
Canada,-72.0,47.5,-4.0
Canada,-78.0,40.0,-10.0
Canada,-78.0,43.6667,-5.0
China,103.422,34.583,-5.0
China,116.388,39.9289,-4.0
China,121.271,31.1761,-2.0
China,123.792,40.7703,-5.0
Colombia,-72.0,4.0,-4.0
Congo,15.0,-1.0,-4.0
Cyprus,33.0,35.0,-10.0
Denmark,10.0,56.0,-4.0
ElSalvador,-88.9167,13.8333,-10.0
Germany,9.0,51.0,-5.0
Honduras,-87.2167,14.1,-9.0
Honduras,-87.3667,13.7667,-10.0
Honduras,-87.95,15.6167,-10.0
Hungary,18.1921,46.236,-6.0
Hungary,20.0,47.0,-4.0
Iceland,-21.0,63.9333,-5.0
India,73.3,18.1667,-10.0
India,73.4,19.25,-10.0
India,75.7667,23.1833,-2.0
India,76.0,13.5,-10.0
India,76.6667,33.9167,-5.0
India,76.6833,9.33333,-5.0
India,77.0,20.0,-3.0
India,77.6833,19.85,-10.0
India,85.5167,25.1833,-6.0
Indonesia,105.167,-2.06667,-4.0
Indonesia,106.829,-6.17444,-7.0
Indonesia,109.183,1.61667,-5.0
Indonesia,114.0,1.0,-5.0
Indonesia,99.0,2.0,-7.0
Italy,12.8333,42.8333,-10.0
Kenya,36.7768,-1.85238,-10.0
Kenya,36.8167,-1.28333,-6.0
Kenya,36.8333,-1.16667,-2.0
Kenya,37.0728,0.016667,-6.0
Latvia,24.1,56.95,-4.0
Liberia,-9.5,6.5,-10.0
Libya,21.85,32.8304,-10.0
Malawi,33.7833,-13.9833,-9.0
Malaysia,116.072,5.9749,-2.0
Malta,14.5147,35.8997,-2.0
Mexico,-102.0,23.0,-4.0
Mexico,-103.467,25.3667,-2.0
Mexico,-113.3,31.6667,-10.0
Mexico,-114.767,32.7,-4.0
Mexico,-96.9167,19.5333,-4.0
Micronesia,158.25,6.9167,-4.0
Nepal,86.75,27.7833,-5.0
Nepal,86.9245,27.9884,-5.0
Nigeria,3.39583,6.45306,-2.0
Nigeria,5.10393,6.26566,-5.0
NorthKorea,125.755,39.0194,-10.0
Norway,10.75,59.9167,-2.0
Pakistan,70.0,30.0,-4.0
Panama,-80.0,9.0,-2.0
PapuaNewGuinea,147.0,-6.0,-10.0
Peru,-77.05,-12.05,-2.0
Philippines,120.982,14.6042,-4.0
SolomonIslands,156.528,-7.91746,-7.0
SouthAfrica,28.5162,-28.4725,-4.0
SouthAfrica,31.0172,-28.1715,-2.0
SouthAfrica,31.0907,-28.6207,-10.0
SouthAfrica,31.5,-23.8333,-7.0
SouthKorea,126.916,35.1547,-4.0
Spain,-15.5,28.0,-7.0
Spain,-3.68333,40.4,-7.0
Spain,-4.0,40.0,-6.0
Spain,-9.4,38.6667,-2.0
SriLanka,80.0359,6.6525,-2.0
SriLanka,81.291,8.4854,-3.0
Sweden,18.05,59.3333,-2.0
Syria,38.0,35.0,-2.0
Taiwan,119.0,24.0,-2.0
Taiwan,121.541,22.0511,-4.0
Tanzania,33.9833,-2.68333,-6.0
Tanzania,35.0,-6.0,-5.0
