Country,Longitude,Latitude,Average_Tone,Mentions
Afghanistan,65.0,33.0,1,7
Argentina,-57.9545,-34.9215,1,1
Armenia,44.6493,40.9179,1,10
Armenia,45.0,40.0,2,15
Australia,115.074,-33.9536,2,6
Australia,115.107,-33.6185,2,10
Australia,115.833,-31.9333,2,28
Australia,117.973,-35.0458,2,4
Australia,138.6,-34.9333,1,2
Australia,140.838,-17.4888,0,4
Australia,142.467,-10.7167,3,15
Australia,142.488,-38.3818,0,4
Australia,144.217,-36.65,1,5
Australia,144.967,-37.8167,3,48
Australia,145.35,-41.9333,2,4
Australia,145.94,-41.68,3,2
Australia,146.105,-17.871,3,10
Australia,147.695,-37.9349,1,4
Australia,149.117,-21.0667,2,5
Australia,149.217,-35.2833,2,86
Australia,150.081,-35.9125,1,8
Australia,150.418,-33.6152,2,20
Australia,150.506,-23.3803,4,25
Australia,151.217,-33.8833,2,132
Australia,151.235,-33.8985,4,10
Australia,151.318,-33.6318,2,569
Australia,151.35,-33.5167,2,10
Australia,151.954,-27.5606,0,5
Australia,153.0,-26.5,0,5
Australia,153.1,-26.6601,2,4
Australia,153.167,-25.2503,0,10
Bahamas,-75.8842,23.5694,1,10
Bangladesh,89.75,23.8335,2,2
Belarus,27.5667,53.9,1,18
Belgium,4.33333,50.8333,2,261
Brazil,-34.9,-8.05,2,70
Brazil,-36.4833,-7.31667,1,20
Brazil,-39.3333,-12.1667,4,2
Brazil,-41.6167,-5.5,3,5
Brazil,-43.2333,-22.9,2,103
Brazil,-46.7463,-23.4058,2,5
Brazil,-49.0,-0.166667,0,55
Brazil,-55.0,-10.0,2,182
Bulgaria,27.0,42.0667,2,24
Cambodia,103.013,11.3336,0,304
Cambodia,104.917,11.55,0,30
Cameroon,12.0,6.0,2,36
Canada,-100.0,75.0,1,9
Canada,-110.683,50.0333,0,10
Canada,-111.383,56.7333,1,46
Canada,-113.95,49.4833,0,10
Canada,-114.083,51.0833,2,34
Canada,-117.333,52.1667,2,20
Canada,-123.15,49.7,3,18
Canada,-123.25,49.6667,2,16
Canada,-123.767,49.4667,2,16
Canada,-65.8333,65.3333,5,5
Canada,-66.8667,52.9167,3,1
Canada,-72.0,47.5,1,117
Canada,-77.45,46.0167,2,4
Canada,-78.0,43.6667,3,7
Canada,-85.0,45.0,3,40
Canada,-94.05,61.1167,1,2
Canada,-99.45,50.2333,2,10
CentralAfricanRepublic,21.0,7.0,1,10
Chad,19.0,15.0,1,19
Chile,-70.65,-30.0167,3,10
Chile,-72.0667,-45.5667,2,6
China,103.478,34.6485,1,4
China,105.48,35.1221,5,2
China,109.484,18.9394,0,8
China,116.388,39.9289,1,200
China,120.169,30.2553,2,10
China,98.2833,30.8667,3,30
Colombia,-69.0,2.5,4,30
Colombia,-69.9406,-4.21528,1,10
Colombia,-72.0,4.0,1,5
Colombia,-74.0833,4.6,9,10
Colombia,-75.5144,10.3997,3,3
Congo,15.0,-1.0,0,68
CostaRica,-83.5931,9.23396,3,12
Cuba,-83.4833,22.4167,3,3
Cyprus,33.0,35.0,4,10
CzechRepublic,14.3483,49.193,5,2
CzechRepublic,17.2512,49.594,1,8
DemocraticRepublicoftheCongo,15.315,-4.32972,0,2
DemocraticRepublicoftheCongo,23.25,-6.26667,1,120
Denmark,10.0,56.0,2,45
DominicanRepublic,-70.4646,19.1011,2,4
Ecuador,-77.5,-2.0,2,48
Egypt,30.0,27.0,2,27
ElSalvador,-88.9167,13.8333,2,5
Gambia,-16.5775,13.4531,2,26
Germany,9.0,51.0,2,221
Ghana,-0.839296,9.40079,5,8
Ghana,0.318026,9.24436,5,1
Greece,23.7333,37.9833,1,30
Guadeloupe,-61.5833,16.25,7,3
Honduras,-87.1167,14.6,1,6
Honduras,-87.2167,14.1,2,5
Iceland,-21.95,64.15,2,70
India,72.6167,23.0333,1,12
India,73.9333,19.0,1,2
India,74.8656,31.6331,4,10
India,75.7833,12.9667,1,10
India,76.0,13.5,0,17
India,76.6333,11.6667,1,10
India,77.0,20.0,1,337
India,78.35,19.1,2,5
India,78.5,23.5,2,2
India,79.4167,28.35,5,20
India,80.75,27.25,1,170
India,81.75,21.5,5,14
India,85.5167,25.1833,3,12
India,88.3697,22.5697,1,45
India,88.4236,26.7161,1,20
Indonesia,106.829,-6.17444,1,54
Indonesia,109.004,-6.8713,4,1
Indonesia,109.183,1.61667,1,18
Indonesia,112.751,-7.24917,1,4
Ireland,-9.71667,52.2667,2,8
Israel,34.7667,32.0667,4,5
Israel,35.2333,31.7667,1,8
Israel,35.5,32.6667,2,6
Italy,12.8333,42.8333,1,66
Japan,133.667,33.3333,1,5
Kazakhstan,51.8833,47.1167,2,10
Kenya,36.8167,-1.28333,2,99
Kenya,36.8333,-1.16667,2,4
Kenya,36.8833,-1.21667,2,4
Kenya,37.2414,0.089038,0,10
Kenya,37.8897,0.665673,2,30
Kenya,38.3724,0.101836,5,10
Kenya,38.3762,-3.49947,0,10
Laos,105.0,18.0,2,128
Madagascar,47.4544,-21.2592,5,18
Malaysia,100.917,3.7229,4,4
Malaysia,103.462,3.5321,1,20
Malaysia,111.733,1.1,8,18
Malaysia,116.072,5.9749,2,14
Malta,14.2942,36.0378,2,10
Malta,14.3458,35.97,1,4
MarshallIslands,168.0,9.0,1,21
Mexico,-100.483,17.125,2,2
Mexico,-102.0,23.0,1,387
Mexico,-104.393,19.1167,1,6
Mexico,-105.917,22.75,3,2
Mexico,-114.95,31.9,1,46
Mexico,-88.6333,20.8667,1,12
Mexico,-91.8542,17.475,2,20
Morocco,-5.0,32.0,1,16
Namibia,25.1667,-17.7833,0,8
Nepal,83.9877,28.2185,1,14
Nepal,84.0,28.0,1,16
Nepal,85.35,27.6667,1,2
Nepal,85.35,27.7,1,10
Netherlands,4.91667,52.35,1,20
NewZealand,168.6,-46.5667,4,15
NewZealand,169.5,-45.25,4,4
NewZealand,172.867,-40.5167,1,20
NewZealand,174.783,-41.3,5,108
NewZealand,175.417,-36.1667,7,24
NewZealand,176.217,-37.9,2,20
NewZealand,176.75,-38.3333,2,5
Niger,8.0,16.0,0,15
Nigeria,3.39583,6.45306,2,32
Norway,10.75,59.9167,1,20
Pakistan,67.7355,24.1909,2,2
Pakistan,70.0,30.0,0,5
Pakistan,73.3908,34.0726,2,20
Pakistan,74.3436,31.5497,4,38
Peru,-72.9453,-11.7175,2,10
Peru,-77.05,-12.05,2,147
Philippines,120.233,14.79,2,5
Philippines,120.982,14.6042,2,72
Philippines,122.0,13.0,3,38
Philippines,122.148,7.6725,2,5
Philippines,123.64,10.1061,2,30
Qatar,51.25,25.5,2,10
Russia,49.5667,52.5833,1,10
Russia,60.3156,56.4412,2,10
Russia,95.4075,56.2539,2,5
SaudiArabia,45.0,25.0,2,15
Seychelles,55.6667,-4.5833,1,2
Singapore,103.812,1.26389,2,2
Singapore,103.858,1.28389,1,80
Somalia,42.5454,-0.358173,2,2
Somalia,44.0297,1.1132,2,10
SouthAfrica,18.4167,-32.5,2,2
SouthAfrica,22.0,-32.0,2,10
SouthAfrica,31.5,-23.8333,1,17
SouthAfrica,31.534,-27.8818,1,10
SouthAfrica,31.538,-25.6403,1,38
SouthKorea,127.5,37.0,2,14
SouthSudan,31.6012,4.84597,0,5
Spain,-15.5,28.0,1,173
Spain,-3.68333,40.4,1,607
Spain,-4.0,40.0,3,53
SriLanka,80.7073,7.6598,0,10
Sweden,18.05,59.3333,3,530
Switzerland,7.46667,46.9167,4,42
Switzerland,8.55,47.3667,3,20
Syria,38.0,35.0,3,28
Tanzania,35.0,-6.0,2,47
Tanzania,35.6167,-2.05,2,10
Tanzania,36.6833,-3.36667,2,40
Tanzania,40.1833,-10.2667,1,10
Thailand,100.931,13.1737,2,4
TrinidadandTobago,-61.076,10.4239,1,3
TrinidadandTobago,-61.1322,10.5871,3,12
TrinidadandTobago,-61.4599,10.3664,1,5
TrinidadandTobago,-61.4951,10.6486,3,4
TrinidadandTobago,-61.5486,10.1844,1,3
TrinidadandTobago,-61.5667,10.2167,2,5
TrinidadandTobago,-61.6133,10.2423,0,8
TrinidadandTobago,-61.6824,10.1782,2,92
Tunisia,10.1797,36.8028,3,1
Turkey,28.6767,41.3053,1,4
Turkey,29.0433,41.0572,1,16
Turkey,32.8644,39.9272,1,6
Turkey,32.8918,36.6404,2,16
Turkey,35.3289,37.0017,1,6
Turkey,35.6592,38.7918,2,17
Uganda,31.3667,-0.45,2,10
Uganda,31.7591,2.16002,2,10
Uganda,32.5667,0.333333,1,34
UnitedArabEmirates,54.3667,24.4667,3,10
UnitedKingdom,-0.133333,51.5,7,399
UnitedKingdom,-0.5,50.9167,3,6
UnitedKingdom,-0.6,53.3833,2,200
UnitedKingdom,-0.916667,50.85,3,3
UnitedKingdom,-1.16667,51.0833,3,2
UnitedKingdom,-1.25,51.5,2,20
UnitedKingdom,-2.23333,53.45,3,20
UnitedKingdom,-3.01639,51.2169,1,16
UnitedKingdom,-3.15,51.8,2,10
UnitedKingdom,-4.25,57.5833,2,10
UnitedKingdom,-4.26667,53.15,3,8
UnitedKingdom,-6.0,56.7167,1,10
UnitedKingdom,0.466667,51.5,3,5
UnitedStates,-101.831,35.222,3,9
UnitedStates,-102.989,38.46,3,8
UnitedStates,-104.384,39.8666,3,12
UnitedStates,-105.075,40.3978,4,2
UnitedStates,-105.271,40.015,3,5
UnitedStates,-105.351,40.0833,4,10
UnitedStates,-105.606,37.9883,2,2
UnitedStates,-105.683,35.5389,2,6
UnitedStates,-106.302,39.235,1,10
UnitedStates,-106.733,34.8062,2,5
UnitedStates,-106.925,38.5458,2,15
UnitedStates,-107.209,42.7475,3,293
UnitedStates,-108.551,39.0639,2,18
UnitedStates,-108.569,38.2183,1,2
UnitedStates,-108.984,40.5289,1,6
UnitedStates,-109.74,38.4844,4,5
UnitedStates,-109.786,33.9384,0,52
UnitedStates,-110.388,40.1616,1,10
UnitedStates,-110.667,32.5006,1,4
UnitedStates,-110.667,47.8183,5,4
UnitedStates,-112.139,36.0544,2,125
UnitedStates,-112.653,39.2869,2,2
UnitedStates,-115.311,35.3405,1,36
UnitedStates,-116.879,44.1277,3,2
UnitedStates,-117.113,32.5839,2,4
UnitedStates,-117.122,38.4199,2,150
UnitedStates,-117.152,32.7367,3,26
UnitedStates,-117.33,33.2106,5,18
UnitedStates,-118.327,34.0983,2,67
UnitedStates,-118.36,34.1819,3,8
UnitedStates,-118.668,34.9166,1,10
UnitedStates,-118.775,34.1364,4,3
UnitedStates,-118.853,44.2482,3,159
UnitedStates,-119.001,44.5002,4,1430
UnitedStates,-119.015,38.0076,2,10
UnitedStates,-119.574,37.7308,3,20
UnitedStates,-119.746,36.17,2,2845
UnitedStates,-120.062,38.9011,3,6
UnitedStates,-120.857,35.2122,2,1
UnitedStates,-121.121,37.0573,1,4
UnitedStates,-121.291,37.9577,1,66
UnitedStates,-121.523,40.3263,1,2
UnitedStates,-121.895,36.6002,3,7
UnitedStates,-122.127,44.5672,1,363
UnitedStates,-122.271,37.8044,1,13
UnitedStates,-122.408,37.3749,2,14
UnitedStates,-122.43,47.377,2,13
UnitedStates,-122.435,47.8332,0,5
UnitedStates,-122.458,38.2919,2,20
UnitedStates,-122.485,37.8591,1,2
UnitedStates,-122.607,42.0749,2,2
UnitedStates,-122.748,48.8618,1,10
UnitedStates,-122.919,38.0119,3,160
UnitedStates,-132.908,55.6319,3,6
UnitedStates,-133.682,56.9117,2,20
UnitedStates,-133.977,58.4264,2,1
UnitedStates,-144.501,68.7506,4,8
UnitedStates,-147.716,64.8378,2,2
UnitedStates,-155.717,20.0833,2,6
UnitedStates,-157.531,21.1098,1,49
UnitedStates,-159.808,57.3264,2,31
UnitedStates,-163.008,69.7439,1,15
UnitedStates,-68.9034,44.3084,4,6
UnitedStates,-69.3977,44.6074,2,932
UnitedStates,-70.885,42.5195,2,4
UnitedStates,-71.1106,41.8157,1,36
UnitedStates,-71.5314,42.2373,2,159
UnitedStates,-71.6412,42.3195,2,4
UnitedStates,-71.8337,41.3773,2,8
UnitedStates,-72.1934,41.1809,1,7
UnitedStates,-72.7093,44.0407,2,174
UnitedStates,-72.8195,41.794,4,10
UnitedStates,-73.1409,40.9257,5,40
UnitedStates,-73.1409,43.2398,3,30
UnitedStates,-73.1804,44.0634,4,20
