Country,Longitude,Latitude,Average_Tone,Mentions
Afghanistan,68.9364,37.189,0,10
Albania,19.5614,40.6136,0,13
Armenia,45.0,40.0,-1,16
Australia,115.833,-31.9333,0,28
Australia,138.6,-34.9333,-4,100
Australia,143.92,-35.7349,-4,15
Australia,144.683,-40.6833,0,20
Australia,144.967,-37.8167,0,70
Australia,145.35,-41.9333,0,23
Australia,145.46,-14.6668,-2,4
Australia,145.638,-16.8198,3,8
Australia,145.94,-41.68,-4,1308
Australia,146.29,-41.82,-4,192
Australia,146.38,-41.67,-3,30
Australia,148.922,-20.1167,0,10
Australia,148.967,-21.6333,0,10
Australia,149.217,-35.2833,0,245
Australia,149.8,-27.1167,-2,9
Australia,151.217,-33.8833,0,685
Australia,151.3,-33.7333,-4,50
Australia,151.318,-33.6318,0,44
Australia,151.954,-27.4634,0,2
Australia,151.954,-27.5606,1,18
Australia,152.909,-31.4308,0,11
Australia,153.0,-26.5,0,8
Australia,153.217,-27.75,-2,12
Australia,153.352,-29.4067,-1,5
Bahamas,-78.7,26.5333,-1,4
Belgium,4.33333,50.8333,-3,35
Belize,-87.8333,18.15,0,30
Bhutan,90.5,27.5,0,9
Bolivia,-65.7531,-19.5836,-6,5
Botswana,25.9119,-24.6464,3,3
Brazil,-34.9,-8.05,-6,262
Brazil,-43.2333,-22.9,-5,425
Brazil,-55.0,-10.0,-3,260
Bulgaria,25.0,43.0,0,10
Cambodia,103.013,11.3336,-4,500
Cambodia,103.25,12.0,-2,5
Cambodia,104.144,13.6234,0,16
Cambodia,104.917,11.55,-2,100
Cameroon,12.0,6.0,0,30
Canada,-102.467,51.2167,0,552
Canada,-103.867,50.5333,-3,7
Canada,-110.683,50.0333,0,20
Canada,-111.383,56.7333,-1,36
Canada,-114.083,51.0833,-1,275
Canada,-114.383,49.8333,-2,6
Canada,-116.183,51.4333,0,36
Canada,-121.917,53.9167,0,48
Canada,-122.767,53.9167,-3,20
Canada,-126.0,54.75,-3,8
Canada,-57.9333,48.95,0,7
Canada,-68.5667,70.45,-1,1
Canada,-72.0,47.5,0,1063
Canada,-78.0,40.0,-3,2
Canada,-78.0,43.6667,-1,20
Canada,-81.6333,44.1667,-5,10
CentralAfricanRepublic,21.0,7.0,-2,12
