Country,Longitude,Latitude,Goldstein
UnitedStates,-86.7489,35.7449,-4.0
UnitedStates,-87.6501,41.85,-4.0
UnitedStates,-89.0022,40.3363,-2.0
UnitedStates,-89.6385,44.2563,-9.0
UnitedStates,-89.9381,29.3741,-10.0
UnitedStates,-90.2443,32.3132,-10.0
UnitedStates,-92.302,38.4623,-6.0
UnitedStates,-93.1402,32.9621,-5.0
UnitedStates,-93.214,42.0046,-5.0
UnitedStates,-93.9196,45.7326,-8.0
UnitedStates,-96.9247,35.5376,-6.0
UnitedStates,-97.0329,47.9253,-10.0
UnitedStates,-98.7084,46.9105,-10.0
VaticanCity,12.45,41.9,-10.0
Venezuela,-64.3213,8.45192,-2.0
Vietnam,105.117,10.7,-10.0
Vietnam,105.917,10.25,-2.0
Yemen,43.4514,15.6683,-2.0
Zambia,28.2833,-15.4167,-5.0
Antarctica,32.3438,-85.6221,-2.0
Australia,115.767,-32.0,-5.0
Australia,140.567,-34.2333,-4.0
Australia,147.28,-43.29,-10.0
Australia,148.067,-19.8833,-4.0
Australia,151.371,-33.4298,-2.0
Bahamas,-77.35,25.0833,-5.0
Bahamas,-77.5833,25.0333,-2.0
Belgium,4.0,50.8333,-5.0
Botswana,24.0,-22.0,-2.0
Brazil,-37.55,-7.58333,-10.0
Brazil,-46.6167,-23.5333,-2.0
Brazil,-47.9167,-15.7833,-2.0
Cambodia,105.0,13.0,-5.0
Cambodia,106.019,12.4881,-10.0
Cameroon,11.55,3.73333,-10.0
Canada,-121.933,50.6833,-5.0
Canada,-123.133,49.25,-5.0
Canada,-123.233,49.3,-4.0
Canada,-125.9,49.1333,-5.0
Canada,-70.8833,45.5833,-10.0
Canada,-73.5833,45.5,-6.0
Canada,-95.0,60.0,-5.0
Canada,-97.1667,49.8833,-4.0
Canada,-97.7167,52.15,-2.0
Chile,-70.7833,-33.7333,-4.0
Chile,-72.7,-45.4,-3.0
China,101.551,21.4686,-4.0
China,105.0,35.0,-4.0
China,116.274,27.7481,-4.0
China,121.458,31.2222,-2.0
China,92.4,31.7,-10.0
Colombia,-74.4,4.6,-4.0
CostaRica,-84.0,10.0,-10.0
CostaRica,-84.8388,9.97615,-5.0
Croatia,14.1811,45.1367,-10.0
ElSalvador,-89.1728,13.5814,-2.0
Fiji,175.0,-18.0,-5.0
France,4.52338,48.5556,-4.0
France,5.73333,45.6333,-6.0
Gabon,11.4,2.15,-5.0
Gabon,11.75,-1.0,-10.0
Germany,10.0,53.55,-5.0
Germany,13.0,51.0,-10.0
Germany,14.6333,51.9333,-2.0
Guyana,-58.1615,6.8094,-10.0
HongKong,113.941,22.2614,-10.0
HongKong,114.267,22.3833,-10.0
India,72.7333,19.65,-2.0
India,72.8258,18.975,-10.0
India,72.85,19.5167,-9.0
India,75.0,14.0,-4.0
India,75.3333,19.8833,-4.0
India,75.75,12.4167,-6.0
India,75.8167,26.9167,-6.0
India,76.0,28.0,-4.0
India,77.2167,28.6667,-4.0
India,77.4,23.2667,-4.0
India,80.2833,13.0833,-4.0
India,83.3,17.7,-10.0
Ireland,-8.0,53.0,-10.0
Ireland,-8.22194,53.0206,-2.0
Israel,35.1278,32.8389,-4.0
Japan,135.5,34.6667,-3.0
Japan,135.95,33.5833,-5.0
Jersey,-2.12585,49.1961,-6.0
Jordan,36.0,31.0,-2.0
Kenya,35.8601,-1.07829,-4.0
Kenya,36.4359,-0.716667,-4.0
Kenya,38.0,1.0,-6.0
Kenya,38.4619,-2.99208,-10.0
Lebanon,35.5097,33.8719,-4.0
Macau,113.55,22.1667,-2.0
Malaysia,112.5,2.5,-4.0
Mexico,-99.1386,19.4342,-4.0
Mongolia,105.0,46.0,-5.0
Mozambique,37.4967,-14.1989,-4.0
Myanmar,96.1561,16.8053,-5.0
Nepal,85.3167,27.7167,-2.0
Netherlands,5.75,52.5,-5.0
NewZealand,174.0,-41.0,-4.0
NewZealand,175.233,-41.1167,-9.0
Nicaragua,-85.0,13.0,-2.0
Nigeria,8.0,10.0,-3.0
Norway,10.0,62.0,-4.0
Norway,24.2833,70.45,-10.0
Pakistan,67.05,24.8667,-2.0
Pakistan,73.2145,34.1469,-5.0
Philippines,120.55,16.45,-4.0
Philippines,121.069,14.659,-2.0
Philippines,123.4,8.63333,-3.0
Philippines,123.8,10.5167,-2.0
Philippines,124.252,7.52139,-2.0
Portugal,-7.5389,38.2167,-2.0
Portugal,-8.0,39.5,-4.0
PuertoRico,-66.4838,18.2359,-7.0
Qatar,51.5333,25.2867,-8.0
Russia,100.0,60.0,-5.0
Russia,36.1873,51.7373,-4.0
Russia,39.7257,43.5992,-5.0
SouthAfrica,18.2728,-32.9002,-5.0
Svalbard,20.0,78.0,-2.0
Thailand,100.0,15.0,-4.0
Thailand,102.896,17.2664,-10.0
Thailand,99.9989,13.3643,-2.0
TrinidadandTobago,-61.0,11.0,-5.0
TrinidadandTobago,-61.4344,10.7635,-2.0
TrinidadandTobago,-61.5167,10.65,-6.0
Turkey,27.6997,38.4953,-6.0
UnitedKingdom,-1.03333,51.5667,-2.0
UnitedKingdom,-1.7,52.6167,-5.0
UnitedKingdom,-2.37806,51.7325,-10.0
UnitedKingdom,-2.61667,59.15,-10.0
UnitedKingdom,-5.93333,54.5833,-10.0
UnitedKingdom,0.05,52.2167,-5.0
UnitedStates,-102.366,43.1405,-10.0
UnitedStates,-105.327,39.0646,-5.0
UnitedStates,-108.317,41.2666,-2.0
UnitedStates,-110.292,39.1666,-2.0
UnitedStates,-110.326,46.9048,-2.0
UnitedStates,-110.784,32.9845,-10.0
UnitedStates,-111.854,40.1135,-5.0
UnitedStates,-112.074,33.4484,-10.0
UnitedStates,-114.51,44.2394,-3.0
UnitedStates,-119.568,37.8499,-2.0
UnitedStates,-119.682,34.0186,-3.0
UnitedStates,-119.772,36.7477,-2.0
UnitedStates,-119.939,39.0894,-2.0
