Country,Longitude,Latitude,Goldstein
Algeria,5.83333,23.1667,-4.0
Argentina,-64.1833,-31.4,-4.0
Armenia,45.0,40.0,-2.0
Australia,115.833,-31.9333,-3.0
Australia,121.991,-33.8323,-10.0
Australia,138.6,-34.9333,-7.0
Australia,139.479,-35.9569,-7.0
Australia,142.467,-10.7167,-10.0
Australia,142.488,-38.3818,-2.0
Australia,144.967,-37.8167,-4.0
Australia,149.217,-35.2833,-2.0
Australia,150.5,-31.5,-6.0
Australia,151.15,-33.8833,-2.0
Australia,151.16,-33.8485,-5.0
Australia,151.217,-33.8833,-4.0
Australia,151.318,-33.6318,-4.0
Australia,152.961,-26.8588,-10.0
Australia,153.217,-27.75,-2.0
Bhutan,90.5,27.5,-2.0
Brazil,-38.15,-5.71667,-10.0
Brazil,-45.8833,-23.1833,-5.0
Brazil,-55.0,-10.0,-6.0
Brazil,-60.0253,-3.11333,-10.0
Cambodia,103.013,11.3336,-6.0
Cambodia,104.181,10.6104,-2.0
Cambodia,104.917,11.55,-8.0
Cambodia,105.0,13.75,-10.0
Cameroon,10.0,6.01667,-5.0
Cameroon,12.0,6.0,-2.0
Canada,-110.683,50.0333,-2.0
Canada,-114.083,51.0833,-3.0
Canada,-119.483,49.9,-2.0
Canada,-121.917,53.9167,-10.0
Canada,-139.417,64.0667,-10.0
Canada,-72.0,47.5,-6.0
Canada,-85.0,45.0,-2.0
China,100.033,23.9,-5.0
China,105.48,35.1221,-10.0
China,116.388,39.9289,-3.0
China,84.0833,33.3667,-10.0
China,97.2333,31.1667,-5.0
Colombia,-72.0,4.0,-10.0
Congo,15.2847,-4.25917,-10.0
CostaRica,-83.3053,8.53627,-10.0
CzechRepublic,14.3483,49.193,-9.0
DemocraticRepublicoftheCongo,15.315,-4.32972,-2.0
Denmark,10.0,56.0,-5.0
ElSalvador,-89.0,14.05,-2.0
France,1.24534,46.6273,-10.0
Germany,13.3667,52.5167,-10.0
Germany,6.41667,50.4333,-4.0
Germany,9.0,51.0,-4.0
